DATE,T10Y2Y
2020-01-01,0.23857142857142857143
2020-02-01,0.17315789473684210526
2020-03-01,0.42181818181818181818
2020-04-01,0.43285714285714285714
2020-05-01,0.50350000000000000000
2020-06-01,0.54363636363636363636
2020-07-01,0.47545454545454545455
2020-08-01,0.51047619047619047619
2020-09-01,0.54476190476190476190
2020-10-01,0.63761904761904761905
2020-11-01,0.70421052631578947368
2020-12-01,0.79772727272727272727
2021-01-01,0.95000000000000000000
2021-02-01,1.1426315789473684
2021-03-01,1.4639130434782609
2021-04-01,1.4718181818181818
2021-05-01,1.4660000000000000
2021-06-01,1.3163636363636364
2021-07-01,1.0990476190476190
2021-08-01,1.0659090909090909
2021-09-01,1.1338095238095238
2021-10-01,1.1900000000000000
2021-11-01,1.0515000000000000
2021-12-01,0.78500000000000000000
2022-01-01,0.78350000000000000000
2022-02-01,0.49894736842105263158
2022-03-01,0.21826086956521739130
2022-04-01,0.20950000000000000000
2022-05-01,0.28142857142857142857
2022-06-01,0.14523809523809523810
2022-07-01,-0.14000000000000000000
2022-08-01,-0.35217391304347826087
2022-09-01,-0.33761904761904761905
2022-10-01,-0.39150000000000000000
2022-11-01,-0.61250000000000000000
2022-12-01,-0.67238095238095238095
2023-01-01,-0.67600000000000000000
2023-02-01,-0.78684210526315789474
2023-03-01,-0.63956521739130434783
2023-04-01,-0.55600000000000000000
2023-05-01,-0.55818181818181818182
2023-06-01,-0.89142857142857142857
2023-07-01,-0.92900000000000000000
2023-08-01,-0.73391304347826086957
2023-09-01,-0.64300000000000000000
2023-10-01,-0.26952380952380952381
2023-11-01,-0.37952380952380952381
2023-12-01,-0.43700000000000000000
2024-01-01,-0.26476190476190476190
2024-02-01,-0.33650000000000000000
2024-03-01,-0.37950000000000000000
2024-04-01,-0.33409090909090909091
2024-05-01,-0.37409090909090909091
2024-06-01,-0.43157894736842105263
2024-07-01,-0.24727272727272727273
